Номенклатура,Номенклатура.Код,Артикул,Кратность,янв. 2024,февр. 2024,март 2024,апр. 2024,май 2024,июнь 2024,июль 2024,авг. 2024,сент. 2024,окт. 2024,нояб. 2024,дек. 2024,янв. 2025,февр. 2025,март 2025,апр. 2025,май 2025,июнь 2025,июль 2025,авг. 2025,сент. 2025,окт. 2025,нояб. 2025,дек. 2025,янв. 2026,февр. 2026,март 2026,апр. 2026,май 2026,июнь 2026,июль 2026,авг. 2026,сент. 2026,Итого
"G407 Рамка 3-ная ""ATLAS"" жемчуг ATN403 (15)",300200378_,ATN000403,5,1,20,40,66,54,45,64,92,34,21,71,27,22,14,40,57,51,73,32,18,13,27,8,12,5,5,24,10,22,28,10,10,12,1028
"G408 Рамка 4-ная ""ATLAS"" жемчуг ATN404 (15)",300200379_,ATN000404,5,1,,15,35,45,16,25,21,35,29,46,3,6,11,21,5,30,21,3,15,5,23,6,4,4,5,8,2,9,14,2,1,,466
"G409 Рамка 5-ная ""ATLAS"" жемчуг ATN405 (5)",300200380_,ATN000405,5,,,14,10,11,,7,6,30,2,9,-16,4,,13,,2,,3,2,1,2,4,2,,1,,1,6,,1,,,115
"G414 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" жемчуг ATN465 (10)",300200421_,ATN000465,10,10,,31,24,49,3,13,24,17,4,19,-4,6,10,15,3,,28,4,1,7,2,,12,2,,5,5,4,9,,,1,304
"GLOSSA 2-клавишный ВЫКЛЮЧАТЕЛЬ, сх.5, 10АХ, механизм, БЕЛЫЙ",щщщ0116254,GSL000151,20,,3,-3,5,,,,4,,,,,,1,,,,,,,,,5,,,,,,,,,2,,17
"K001 Роз. с з/к 16А с/у б/рамки ""ATLAS"" СТАЛЬ ATN943 (5)",300200520_,ATN000943,5,,,178,48,195,259,630,485,287,444,157,161,95,135,30,195,64,35,120,53,514,209,139,389,42,267,95,48,163,6,125,111,138,5817
"K002 Выкл 1 кл 10А с/у ""ATLAS"" СТАЛЬ ATN912 (5) NEW",300200521_,ATN000912,5,,22,8,2,20,36,24,31,38,19,36,,22,12,11,,1,,52,2,6,5,3,59,8,15,18,,6,1,13,,9,479
"K003 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN913 (5)",300200522_,ATN000913,5,,,,7,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,9
"K004 Выкл 2 кл 10А с/у ""ATLAS"" СТАЛЬ ATN952 (5) NEW",300200523_,ATN000952,5,1,7,19,2,17,15,45,66,32,46,12,1,25,9,5,6,3,6,20,3,10,13,8,31,3,10,9,6,7,5,6,8,2,458
"K005 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN953 (5)",300200524_,ATN000953,5,,,,,,8,,,5,7,2,,,,,,,,,,,4,,,5,,,1,,,,3,,35
"K006 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN931 (5)",300200525_,ATN000931,5,,,3,,1,2,,1,15,11,3,8,1,2,,,,,2,-1,,,,11,,1,1,,,2,,1,1,65
"K007 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" СТАЛЬ ATN983 (5)",300200526_,ATN000983,1,,12,8,3,9,13,24,23,26,15,10,4,6,1,,1,,1,7,5,45,5,14,28,1,21,11,6,16,7,7,10,7,346
"K008 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN961 (5)",300200527_,ATN000961,5,,18,9,26,,14,33,22,24,16,18,,,4,,23,11,1,,,20,12,12,25,,,,1,2,,4,2,1,298
"K010 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN971 (2)",300200529_,ATN000971,1,,,,3,,8,6,5,10,10,15,,,,,,,,,,4,2,4,5,,,1,,,,,,,73
"K011 Роз. 2-ная с/у 16А ""ATLAS"" СТАЛЬ ATN920 (6)",300200530_,ATN000920,6,2,,,,,1,1,22,33,5,,,35,18,,10,,,11,,2,1,,,15,,,,2,,5,,,163
"K012 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" СТАЛЬ ATN926 (6)",300200531_,ATN000926,6,,,7,3,,10,6,35,10,13,34,5,20,1,,2,,20,,1,,14,35,4,,2,12,7,5,2,2,2,12,264
"K013 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" СТАЛЬ ATN985 (5)",300200532_,ATN000985,1,,,,1,,,2,6,,2,,,3,,,,,,,2,3,,1,,,8,,,,,1,1,,30
"K014 Роз. с з/к 16А с/у з/ш ""ATLAS"" СТАЛЬ ATN944 (5)",300200533_,ATN000944,5,,,10,1,,22,,16,,1,28,1,5,,,,,2,,,2,3,,,,,3,,,,1,,23,118
"K015 ТV роз. оконечная с/у б/рамки ""ATLAS"" СТАЛЬ ATN991(5)",300200534_,ATN000991,5,,6,1,,1,8,2,,1,4,1,,2,1,,2,,,,1,,3,,,,2,5,2,,,,3,,45
"K016 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" СТАЛЬ ATN981 (5)",300200535_,ATN000981,1,,,,,,2,,1,,,,,,,,,,,1,,15,,,,,,,,,,,,1,20
"K017 Рамка 1-ная ""ATLAS"" СТАЛЬ ATN901 (5)",300200536_,ATN000901,10,,,66,24,117,106,152,79,163,181,123,94,43,71,65,157,15,84,142,23,196,113,69,305,17,113,30,100,93,20,70,75,91,2997
"K018 Рамка 2-ная ""ATLAS"" СТАЛЬ ATN902 (5)",300200537_,ATN000902,5,,,56,15,56,130,144,65,94,129,60,12,15,15,42,29,22,43,26,3,37,38,50,90,15,42,37,8,46,1,40,37,24,1421
"K019 Рамка 3-ная ""ATLAS"" СТАЛЬ ATN903 (2)",300200538_,ATN000903,5,3,,6,7,28,86,42,59,46,49,28,15,8,5,15,8,13,6,21,9,15,11,24,32,1,13,6,5,21,6,14,12,16,630
"K020 Рамка 4-ная ""ATLAS"" СТАЛЬ ATN904 (2)",300200539_,ATN000904,5,,,9,4,12,25,25,17,16,24,22,3,2,3,12,11,1,1,6,9,44,15,8,6,32,35,2,,59,,4,6,2,415
"K021 Рамка 5-ная ""ATLAS"" СТАЛЬ ATN905 (2)",300200540_,ATN000905,5,,1,6,,5,7,2,9,13,14,5,,,,11,1,,1,,,1,1,,5,1,,,,,,4,1,8,96
"K022 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" СТАЛЬ ATN965 (5)",300200541_,ATN000965,5,,,4,1,8,,18,24,24,30,10,5,6,,,,,,4,,,15,18,1,,,5,,,,1,,2,176
"K023 Роз. с з/к 16А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN543 (10)",300200542_,ATN000543,10,721,189,759,1372,1743,1460,798,1545,1303,1275,960,1259,714,744,820,1313,629,499,932,619,618,748,611,794,157,474,239,998,486,485,505,1066,249,27084
"K0233 Роз. с з/к с з/ш, 16А, механизм ""ATLAS"" ШАМПАНЬ ATN545 (10)",300200624_,ATN000545,10,,30,17,4,,,30,53,7,75,4,68,,16,4,5,6,,35,,13,46,46,38,1,,17,38,4,,,67,16,640
"K02333 Роз. без з/к без с/ш 16А мех. ""ATLAS"" ШАМПАНЬ ATN541 (10) NEW",300200704_,ATN000541,10,,,,,47,249,133,225,99,78,142,69,60,101,2,120,111,98,161,62,46,5,-15,,7,,,100,1,13,4,4,66,1988
"K024 Выкл 1 кл 10А с/у ""ATLAS"" ШАМПАНЬ ATN512 (10)",300200543_,ATN000512,10,21,66,151,113,168,189,87,264,166,224,55,120,34,78,78,94,36,57,109,65,44,88,30,57,9,38,27,90,50,129,37,72,56,2902
"K025 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN513 (10)",300200544_,ATN000513,10,16,,3,3,,,2,11,17,34,5,,,8,1,9,3,2,4,11,-4,,8,,,,11,1,,13,11,,5,174
"K026 Выкл 2 кл 10А с/у ""ATLAS"" ШАМПАНЬ ATN552 (10)",300200545_,ATN000552,10,7,53,91,97,116,118,27,46,43,15,25,18,11,29,36,7,,25,60,35,16,27,11,30,7,18,6,21,13,38,22,26,19,1113
"K0266 Выкл. 2 кл 10А б/рамки ""ATLAS"" ШАМПАНЬ ATN551 (10) NEW",300200593_,ATN000551,10,,,,,103,195,173,163,332,144,107,191,104,90,98,253,96,68,134,61,70,70,110,98,17,46,65,174,82,42,31,134,48,3299
"K027 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN553 (10)",300200546_,ATN000553,10,17,3,4,1,,,,,10,15,1,,6,,,6,9,1,,4,5,,19,1,1,,7,,,3,2,,19,134
"K028 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN531 (10)",300200547_,ATN000531,10,,11,12,2,16,20,2,19,33,22,20,19,9,11,15,23,6,8,10,9,7,4,11,5,5,5,4,1,14,3,7,22,11,366
"K029 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN583 (10)",300200548_,ATN000583,5,19,23,48,30,57,87,58,97,52,35,67,83,23,32,42,72,45,29,36,33,31,26,17,57,5,13,21,148,6,31,13,35,7,1378
"K030 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN561 (10)",300200549_,ATN000561,10,18,21,23,57,65,61,23,87,34,87,58,43,30,60,34,320,24,36,65,40,32,67,13,38,3,13,22,67,27,9,30,38,4,1549
"K031 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" ШАМПАНЬ ATN563  (10)",300200550_,ATN000563,10,,,,,,,,,1,,,,,,,,,,,,,,1,,,,,,,2,,2,2,8
"K032 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN571 (5)",300200551_,ATN000571,5,3,7,8,5,12,14,8,17,12,26,14,2,3,6,6,15,7,,6,6,12,19,,5,,,1,8,7,3,9,3,10,254
"K0322 Перекрест. перекл. 2 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN573 (5) NEW",300200773_,ATN000573,5,,,,,5,1,2,43,8,3,4,44,5,4,12,17,2,2,16,10,10,1,1,5,,6,2,12,8,3,2,1,7,236
"K033 Роз. 2-ная с/у 16А ""ATLAS"" ШАМПАНЬ ATN520 (6)",300200552_,ATN000520,6,,29,19,19,3,101,87,52,49,98,56,50,14,52,8,12,21,77,67,69,8,26,10,3,,7,4,33,34,12,21,41,22,1104
"K034 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" ШАМПАНЬ ATN526 (6)",300200553_,ATN000526,6,5,25,54,33,94,30,2,66,81,103,12,82,28,71,55,20,119,77,67,98,26,52,41,48,10,43,24,61,53,23,20,92,33,1648
"K035 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN585 (10)",300200554_,ATN000585,5,3,6,,2,3,2,5,7,,10,3,1,2,3,8,,,,12,3,,1,,16,,,,,,2,,3,,92
"K036 Роз. с з/к 16А с/у з/ш ""ATLAS"" ШАМПАНЬ ATN544 (10)",300200555_,ATN000544,10,14,142,9,8,86,33,4,4,41,,,,11,2,6,3,3,4,31,,3,10,,4,2,,3,24,31,32,,11,3,524
"K037 ТV роз. оконечная с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN591(10)",300200556_,ATN000591,10,1,4,5,11,19,13,11,53,16,5,13,10,1,9,2,27,,6,4,,1,9,1,3,,,,2,1,3,6,5,2,243
"K038 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" ШАМПАНЬ ATN581 (10)",300200557_,ATN000581,10,,,,,5,,1,,2,,,,,,,8,,6,,1,2,,,6,,,,2,1,,,,,34
"K039 Рамка 1-ная ""ATLAS"" ШАМПАНЬ ATN501 (10)",300200558_,ATN000501,20,104,102,212,311,531,1050,736,728,500,707,654,603,279,458,483,586,494,313,1061,377,411,297,216,475,163,162,181,399,269,459,299,480,158,14258
"K040 Рамка 2-ная ""ATLAS"" ШАМПАНЬ ATN502 (10)",300200559_,ATN000502,10,109,96,185,196,340,394,220,429,423,288,335,469,137,190,212,340,207,121,217,170,222,250,229,232,66,117,71,400,116,208,91,311,87,7478
"K041 Рамка 3-ная ""ATLAS"" ШАМПАНЬ ATN503 (15)",300200560_,ATN000503,5,48,44,70,130,116,181,125,228,190,122,121,155,50,95,84,165,62,83,90,65,99,76,87,111,22,41,25,121,48,46,56,111,33,3100
"K042 Рамка 4-ная ""ATLAS"" ШАМПАНЬ ATN504 (15)",300200561_,ATN000504,5,7,11,51,55,45,55,53,85,66,31,64,53,23,27,38,157,-5,32,33,13,54,29,21,30,2,19,7,26,24,24,16,26,9,1181
"K043 Рамка 5-ная ""ATLAS"" ШАМПАНЬ ATN505 (5)",300200562_,ATN000505,5,,4,10,14,17,20,15,28,29,22,11,85,2,,7,3,28,5,7,8,5,2,6,15,,1,,,4,1,1,10,,360
"K044 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" ШАМПАНЬ ATN565 (10)",300200563_,ATN000565,10,29,29,47,19,68,56,17,119,36,31,65,39,40,36,51,158,38,50,32,49,39,25,10,8,2,22,12,45,48,22,46,53,9,1350
"K045 Роз. с з/к 16А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN743 (10)",300200564_,ATN000743,10,139,110,208,97,485,173,146,169,136,177,263,281,121,163,113,8,180,285,162,87,180,95,110,80,68,227,52,27,13,20,87,80,94,4636
"K046 Выкл 1 кл 10А с/у ""ATLAS"" ГРИФЕЛЬ ATN712 (10)",300200565_,ATN000712,10,,8,25,32,54,25,18,23,-11,30,26,34,9,6,14,,18,15,1,2,4,17,14,9,12,21,11,4,27,6,3,31,1,489
"K0461 Выкл. 1-кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN711 (10) NEW",300200590_,ATN000711,10,1,,,,10,19,9,11,61,21,71,17,16,33,1,2,19,4,18,17,45,-3,17,19,36,14,45,11,,11,10,18,22,575
"K047 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN713 (10)",300200566_,ATN000713,10,1,4,28,2,3,2,4,3,-4,4,,-20,,,,10,,,,1,,,,,,,,,,,,,,38
"K048 Выкл 2 кл 10А с/у ""ATLAS"" ГРИФЕЛЬ ATN752 (10)",300200567_,ATN000752,10,19,35,14,5,20,6,9,3,5,27,12,2,7,,6,10,3,9,,,8,7,10,4,,,8,1,5,,13,3,,251
"K0488 Выкл 2-кл 10А механизм ""ATLAS"" ГРИФЕЛЬ ATN751 (10)",300200591_,ATN000751,10,15,2,10,2,25,9,11,22,-3,31,17,4,2,9,2,1,6,8,18,17,27,2,2,,13,23,4,11,,4,10,2,11,317
"K049 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN753 (10)",300200568_,ATN000753,10,11,,2,,10,20,6,4,-17,4,,-10,,,,,,,,,,,,1,,,,,,,,,,31
"K050 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN731 (10)",300200569_,ATN000731,10,,,10,,3,2,5,,5,5,3,-9,,,,,1,1,,,,,4,4,,1,,3,,,2,,,40
"K051 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" ГРИФЕЛЬ ATN783 (10)",300200570_,ATN000783,5,5,4,14,1,28,5,1,4,3,9,28,-12,1,19,11,,7,1,8,4,1,1,2,1,11,13,2,1,8,1,,2,4,188
"K052 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN761 (10)",300200571_,ATN000761,10,7,3,20,10,18,10,2,3,17,3,26,-11,4,2,,,5,6,24,,1,4,5,2,6,4,3,2,,,7,,3,186
"K053 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" ГРИФЕЛЬ ATN763  (10)",300200572_,ATN000763,5,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,1,,,5
"K054 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN771 (5)",300200573_,ATN000771,5,5,,10,10,2,,,,1,,,-24,,,,,,,1,,1,,,,,7,,,,,,1,,14
"K055 Роз. 2-ная с/у 16А ""ATLAS"" ГРИФЕЛЬ ATN720 (6)",300200574_,ATN000720,6,,22,24,13,5,52,27,,-28,,39,-8,4,,2,,,5,11,16,2,11,,20,5,,,2,4,,,5,4,237
"K056 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" ГРИФЕЛЬ ATN726 (6)",300200575_,ATN000726,6,21,1,,10,,,1,16,2,64,29,47,3,27,4,,,1,,2,12,18,,2,,12,27,18,3,5,,,8,333
"K057 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" ГРИФЕЛЬ ATN785 (10)",300200511_,ATN000785,10,5,1,10,10,2,,,21,,,11,-18,,,,,21,,,,,,15,,,9,1,,,,,4,,92
"K058 Роз. с з/к 16А с/у з/ш ""ATLAS"" ГРИФЕЛЬ ATN744 (10)",300200576_,ATN000744,10,16,,17,69,23,30,10,19,-14,18,30,2,4,80,2,,22,2,,1,,9,31,1,6,2,48,1,4,10,,30,6,479
"K0588 Роз. без з/к без з/ш б/рамки 16А ""ATLAS"" ГРИФЕЛЬ ATN741   (10) NEW",300200776_,ATN000741,10,,,,,,2,4,,35,-2,109,14,10,,,,,,,2,4,,,4,,,,1,3,,,5,4,195
"K059 ТV роз. оконечная с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN791 (10)",300200577_,ATN000791,10,5,,8,10,,4,1,,1,3,4,-17,,,,,,1,2,,,,1,,,,,,,,,,,23
"K061 Рамка 1-ная ""ATLAS"" ГРИФЕЛЬ ATN701 (10)",300200579_,ATN000701,20,95,101,63,30,185,19,83,75,126,102,186,78,15,,84,12,103,35,77,81,85,76,69,31,110,96,12,19,3,3,39,74,55,2222
"K062 Рамка 2-ная ""ATLAS"" ГРИФЕЛЬ ATN702 (10)",300200580_,ATN000702,10,16,17,44,55,103,20,33,37,41,48,63,30,18,9,30,3,33,27,40,13,30,14,28,39,36,64,46,-17,,23,29,3,28,1003
"K063 Рамка 3-ная ""ATLAS"" ГРИФЕЛЬ ATN703 (15)",300200581_,ATN000703,5,17,11,18,30,25,32,30,19,21,29,32,4,17,39,3,2,13,64,11,3,13,5,9,5,13,25,16,12,6,1,11,,13,549
"K064 Рамка 4-ная ""ATLAS"" ГРИФЕЛЬ ATN704 (15)",300200582_,ATN000704,5,1,1,11,25,15,13,4,1,33,12,18,-11,5,,2,,12,2,5,5,9,1,9,6,12,13,4,2,1,1,,1,,213
"K065 Рамка 5-ная ""ATLAS"" ГРИФЕЛЬ ATN705 (5)",300200583_,ATN000705,5,6,,1,11,15,2,,5,11,1,7,-15,,,,,2,,,,3,,1,5,,1,2,,1,2,,,1,62
"K066 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" ГРИФЕЛЬ ATN765 (10)",300200584_,ATN000765,10,16,1,11,12,9,2,,1,-4,3,18,-24,,1,4,,4,,5,,5,,8,,,2,9,7,,1,,3,4,98
"K067 Роз. с з/к 16А с/у б/рамки ""ATLAS"" КАРБОН ATN1043 (5)",300200343_,ATN001043,10,1647,526,2197,3902,4600,6224,3610,4571,3837,3658,3004,3123,2903,2518,2730,2016,1874,1938,1769,2595,2620,1523,1702,2172,983,1621,1125,1236,1709,1270,1396,1524,776,78899
"K0677 Роз. без з/к без шторок, 16А, механизм ""ATLAS"" КАРБОН ATN1041 (10)",020100163_,ATN001041,10,1,20,212,196,255,513,389,260,255,270,114,61,124,137,68,175,21,115,116,231,46,34,57,57,31,49,61,1,11,48,250,130,1,4309
"K068 Выкл 1 кл 10А с/у ""ATLAS"" КАРБОН ATN1012 (5)",300200459_,ATN001012,5,78,,89,67,441,165,186,175,170,146,117,46,79,168,81,74,48,83,211,97,155,61,77,94,25,68,51,61,78,18,69,30,49,3357
"K0688 Выкл 1 кл 10А механизм ""ATLAS"" КАРБОН ATN1011 (5)",020100158_,ATN001011,10,66,21,511,586,564,1003,683,621,981,517,437,488,448,417,491,431,310,441,292,476,378,208,371,439,179,237,244,192,330,175,230,337,147,13251
"K069 Выкл 1 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН - ATN1013",020100159_,ATN001013,5,4,64,50,27,41,6,25,33,34,-2,25,8,18,150,11,39,14,34,29,3,10,6,,22,,,4,,-30,9,8,,,642
"K070 Выкл 2 кл 10А с/у ""ATLAS"" КАРБОН ATN1052 (5)",300200460_,ATN001052,5,195,99,110,75,210,123,100,143,88,57,88,21,90,130,52,40,48,73,69,38,161,42,72,66,35,65,36,44,18,25,36,29,25,2503
"K0700 Выкл 2 кл 10А механизм ""ATLAS"" КАРБОН ATN1051 (5)",020100160_,ATN001051,10,,,228,442,470,767,634,650,406,523,418,292,299,244,278,314,222,233,144,361,232,185,176,255,130,145,151,136,203,79,163,246,113,9139
"K071 Выкл 2 кл с инд 10А с/у б/рамки ""ATLAS"" КАРБОН  - ATN1053",020100161_,ATN001053,5,35,6,51,20,23,30,38,4,26,-7,45,-7,13,30,5,38,2,12,34,,7,,,15,,,1,,,1,1,10,,433
"K072 Выкл 3 кл 10А с/у б/рамки ""ATLAS"" КАРБОН  ATN1031",300200461_,ATN001031,5,,1,19,46,38,35,72,41,92,24,25,46,31,35,40,31,30,27,33,13,16,21,29,32,23,12,36,13,10,16,17,22,16,942
"K074 Комп. роз. RJ45 5Е механизм б/рамки ""ATLAS"" КАРБОН ATN1083 (5)",300200472_,ATN001083,5,113,21,104,194,240,277,205,249,167,179,291,107,179,175,79,52,89,155,79,142,50,27,95,167,16,99,75,51,113,62,50,100,19,4021
"K075 Переключ. 1 кл 10А с/у б/рамки ""ATLAS"" КАРБОН ATN1061 (5)",300200462_,ATN001061,10,69,46,53,111,309,259,79,235,144,231,183,152,177,124,135,81,133,95,72,144,132,66,74,92,35,22,53,55,47,56,33,76,8,3581
"K076 Переключ. 1 кл с инд 10А с/у б/рамки  ""ATLAS"" КАРБОН ATN1063 (2)",300200517_,ATN001063,5,,,,,14,,,27,1,1,,,4,,,,,,6,,,2,,,,,,,,,,,,55
"K077 Перекрест.переключ. 1 кл 10А с/у б/рамки ""ATLAS"", КАРБОН -  ATN1071 (2)",020100162_,ATN001071,5,22,3,37,28,32,99,14,58,21,45,28,24,33,42,18,24,54,17,10,14,3,4,21,9,15,-6,23,2,23,8,5,23,,753
"K0777 Перекрест. перекл. 2 кл 10А с/у б/рамки мех. ""ATLAS"" КАРБОН ATN1073   (5) NEW",300200772_,ATN001073,5,,,,,12,112,58,58,24,60,13,26,72,24,9,15,13,15,8,15,8,4,7,11,12,21,5,3,13,9,5,7,2,641
"K078 Роз. 2-ная с/у 16А ""ATLAS"" КАРБОН ATN1020 (6)",300200468_,ATN001020,6,8,1,126,172,180,150,185,138,173,121,86,69,13,67,,166,34,130,118,119,86,97,46,32,25,62,40,55,101,37,60,119,30,2846
"K079 Роз. 2-ная с/у 16А с з/к з/ш ""ATLAS"" КАРБОН ATN1026 (6)",300200515_,ATN001026,6,,1,149,147,358,145,183,196,246,218,170,96,155,185,69,157,170,201,138,104,96,158,59,120,29,102,101,109,40,46,167,48,47,4210
"K080 Роз. RJ45+RJ45 5Е кат 5Е механизм б/рамки ""ATLAS"" КАРБОН ATN1085 (5)",300200518_,ATN001085,5,,4,16,21,6,20,23,78,62,29,24,-13,9,56,67,13,12,52,4,12,22,42,20,7,14,2,67,3,25,29,1,20,15,762
"K081 Роз. с з/к 16А с/у з/ш ""ATLAS"" КАРБОН ATN1044 (5)",300200516_,ATN001044,5,19,96,757,209,72,59,107,64,182,155,195,274,64,54,67,253,53,89,117,93,51,105,33,268,22,112,68,4,80,12,5,84,21,3844
"K082 ТV роз. оконечная с/у б/рамки ""ATLAS"" КАРБОН ATN1091",300200471_,ATN001091,5,1,63,41,44,41,20,62,11,15,16,6,5,19,16,7,31,7,10,13,21,9,2,24,3,1,2,1,8,,,20,15,,534
"K083 Телефонная роз. RJ11 механизм б/рамки ""ATLAS"" КАРБОН ATN1081",300200470_,ATN001081,5,15,,,3,,1,,12,10,20,2,,,10,,,,5,,,,1,,,5,,,,,,,,,84
"K084 Рамка 1-ая ""ATLAS"" КАРБОН ATN1001 (10)",300200463_,ATN001001,20,497,400,1451,2473,2909,3099,1800,1701,1734,2072,2315,1591,1524,1177,1311,1172,1177,1237,1052,1128,967,568,1074,1429,455,747,634,502,651,546,866,627,499,41385
"K085 Рамка 2-ая ""ATLAS"" КАРБОН ATN1002 (5)",300200464_,ATN001002,10,306,163,658,898,986,1593,781,1265,1290,1058,1114,865,691,684,567,526,768,396,481,675,667,362,457,600,365,552,403,361,485,216,359,411,213,21216
"K086 Рамка 3-ая ""ATLAS"" КАРБОН ATN1003 (15)",300200465_,ATN001003,5,156,61,352,417,426,735,331,600,425,507,614,412,362,305,307,226,290,156,257,245,213,181,169,272,127,127,155,174,197,186,204,123,45,9357
"K087 Рамка 4-ая ""ATLAS"" КАРБОН ATN1004",300200466_,ATN001004,5,3,4,151,218,153,359,129,299,194,171,257,174,89,118,120,79,51,90,60,138,152,145,50,54,33,97,30,46,95,26,256,101,37,3979
"K088 Рамка 5-ая ""ATLAS"" КАРБОН ATN1005",300200467_,ATN001005,5,36,,9,39,54,83,34,47,45,49,54,18,33,23,41,28,13,15,11,45,6,14,31,31,2,16,13,32,17,7,43,18,8,915
"K089 Переключ. 2 кл 10А с/у б/рамки ""ATLAS"" КАРБОН ATN1065 (5)",300200519_,ATN001065,5,48,47,72,138,280,232,108,197,109,120,160,190,95,127,196,74,78,72,75,108,106,41,44,54,53,50,51,49,32,70,14,78,18,3186
"K090 Диммер повортно нажимной мех. LED RC 400Вт ""ATLAS"" КАРБОН ATN1023 (1) NEW",300200775_,ATN001023,1,,,,,1,1,1,3,21,3,-1,1,4,,19,4,,,,,,1,10,4,,,,,,,,,,72
"K091 Выкл. AQUA 2 кл IP44 мех. ""ATLAS"" КАРБОН ATN441051   (5) NEW",300200781_,ATN441051,5,,,,,,,,,1,4,7,,,1,,,,1,,,,,6,3,,,4,,,,,1,,28
"K093 Роз. AQUA с з/к с ш/т 16А с крышкой IP44 механизам ""ATLAS"" КАРБОН ATN441046 (10) NEW",300200779_,ATN441046,10,,,,,8,247,24,105,31,38,40,38,19,38,32,34,38,29,7,79,42,50,47,69,19,18,22,14,42,11,15,6,9,1171
"K094 Рамка 1-ная AQUA IP44 ""ATLAS"" КАРБОН ATN441001     (10) NEW",300200782_,ATN441001,10,,,,,,2,10,10,,7,21,3,9,8,,4,4,9,,25,20,26,7,12,,,3,,5,4,5,4,,198
"K095 Рамка 2-ная AQUA IP44 ""ATLAS"" КАРБОН ATN441002     (5) NEW",300200783_,ATN441002,5,,,,,,,1,1,1,1,3,2,,3,2,-2,,3,,16,7,,9,,1,,12,7,1,,,5,,73
"S197 Рамка 1-ная   ""Wessen 59"" (90) !!!",300100015_,KD-1-18,90,,,30,4,,,,27,,,,,,,,,,,20,,,5,,,,,,,,,,,,86
"S198 Рамка 2-ная   ""Wessen 59"" (60) !!!",300100006_,KD-2-18,60,1,,4,,3,2,,,3,1,,,,,,,,2,,,,6,2,,,,,,,,,,,24
"S199 Рамка 3-ная ""Wessen 59"" (15/60) !!!",300100003_,KD-3-18,15,3,,1,,9,26,,,2,,,,,1,,,,1,,,,,2,,,,,,,,,,,45
"S200 Рамка 4-ная  ""Wessen 59"" (15/60) !!!",300100012_,KD-4-18,15,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
"S231 1кл с/у. 6А IP20 ""Прима"" ВС 16-057-б (96) !!!",030200006_,S16-057-B,0,,,,,,,,,,,,,,,,,,,8,26,67,,,8,,,,1,,,,,,110
