tree,node,depth,count,is_leaf,feature,condition,left,right,missing_go_to_left,value,threshold,left_categories
4,13,3,12503,False,month_sin,month_sin <= 0.25,14.0,15.0,False,0.04707104611204348,0.25000000000000006,[]
4,14,4,6244,True,,leaf,,,False,0.009872853437604221,,[]
4,15,4,6259,False,cv_12,cv_12 <= 0.915112,16.0,17.0,False,-0.06651778593077046,0.9151115295586604,[]
4,16,5,3072,True,,leaf,,,False,0.004076333772565269,,[]
4,17,5,3187,True,,leaf,,,False,-0.012805051733322413,,[]
4,18,2,38570,False,log_scale,log_scale <= 3.70233,19.0,26.0,True,0.3339554173146708,3.702330251838059,[]
4,19,3,25205,False,month_sin,month_sin <= 0.25,20.0,25.0,True,0.22038469165179456,0.25000000000000006,[]
4,20,4,16203,False,lag_3,lag_3 <= 0.200477,21.0,22.0,False,0.3469438105224203,0.20047732696897377,[]
4,21,5,3200,True,,leaf,,,False,0.0070879213761742615,,[]
4,22,5,13003,False,mean_6,mean_6 <= 1.41818,23.0,24.0,False,0.4093598708983324,1.4181818181818182,[]
4,23,6,6230,True,,leaf,,,False,0.01641082328645785,,[]
4,24,6,6773,True,,leaf,,,False,0.04238435877332197,,[]
4,25,4,9002,True,,leaf,,,False,-0.00042966074915757604,,[]
4,26,3,13365,False,month_sin,month_sin <= -6.12323e-17,27.0,28.0,True,0.5478130841121496,-6.123233995736766e-17,[]
4,27,4,7128,True,,leaf,,,False,0.0335885443678395,,[]
4,28,4,6237,True,,leaf,,,False,0.010482252183674424,,[]
5,0,0,86094,False,nonzero_12,nonzero_12 <= 0.375,1.0,10.0,False,0.0,0.375,[]
5,1,1,30705,False,mean_6,mean_6 <= 1.05124,2.0,7.0,True,-0.47849584893374575,1.0512417478780258,[]
5,2,2,22310,False,mean_6,mean_6 <= 0.166667,3.0,4.0,False,-0.5847670250896058,0.16666666666666666,[]
5,3,3,10648,True,,leaf,,,False,-0.01758593039772727,,[]
5,4,3,11662,False,category,"category in ['0104', '0201', '0203', '0811', '1201', '1306', '1510', '2403', '2502', '2506', '2704', '2802', '2901', '2902']",5.0,6.0,False,-0.4904043865661412,,"[""0104"", ""0201"", ""0203"", ""0811"", ""1201"", ""1306"", ""1510"", ""2403"", ""2502"", ""2506"", ""2704"", ""2802"", ""2901"", ""2902""]"
5,5,4,1294,True,,leaf,,,False,-0.01758593039772727,,[]
5,6,4,10368,True,,leaf,,,False,-0.01758593039772727,,[]
5,7,2,8395,False,nonzero_12,nonzero_12 <= 0.208333,8.0,9.0,False,-0.19571683521713265,0.20833333333333331,[]
5,8,3,3247,True,,leaf,,,False,-0.01758593039772727,,[]
5,9,3,5148,True,,leaf,,,False,-0.01758593039772727,,[]
5,10,1,55389,False,lag_1,lag_1 <= 0.421053,11.0,16.0,False,0.2138847271611401,0.42105263157894735,[]
5,11,2,16819,False,cv_12,cv_12 <= 0.915112,12.0,13.0,False,-0.025729395686018182,0.9151115295586604,[]
5,12,3,5698,True,,leaf,,,False,0.005683771875695929,,[]
5,13,3,11121,False,month_sin,month_sin <= 0.25,14.0,15.0,True,-0.11184978887790854,0.25000000000000006,[]
5,14,4,5969,True,,leaf,,,False,0.0025916044273320534,,[]
5,15,4,5152,True,,leaf,,,False,-0.01696974139003681,,[]
5,16,2,38570,False,log_scale,log_scale <= 3.70233,17.0,26.0,True,0.3183514774494557,3.702330251838059,[]
5,17,3,25205,False,month_sin,month_sin <= 0.25,18.0,23.0,True,0.20896291889748167,0.25000000000000006,[]
5,18,4,16203,False,lag_3,lag_3 <= 0.200477,19.0,20.0,False,0.32893357182507865,0.20047732696897377,[]
5,19,5,3200,True,,leaf,,,False,0.006733525307365546,,[]
5,20,5,13003,False,mean_6,mean_6 <= 1.53144,21.0,22.0,True,0.3881503112272343,1.5314377252703244,[]
5,21,6,7301,True,,leaf,,,False,0.017001310782354347,,[]
5,22,6,5702,True,,leaf,,,False,0.04351255165168694,,[]
5,23,4,9002,False,category,"category in ['0103', '0104', '0107', '0108', '0811', '1201', '1302', '2401', '2403', '2510', '2514', '2703', '2704', '2802']",24.0,25.0,False,-0.007101642254771416,,"[""0103"", ""0104"", ""0107"", ""0108"", ""0811"", ""1201"", ""1302"", ""2401"", ""2403"", ""2510"", ""2514"", ""2703"", ""2704"", ""2802""]"
5,24,5,3512,True,,leaf,,,False,0.006898090653427698,,[]
5,25,5,5490,True,,leaf,,,False,-0.005432439350707735,,[]
5,26,3,13365,False,month_sin,month_sin <= -6.12323e-17,27.0,28.0,True,0.5243364485981309,-6.123233995736766e-17,[]
5,27,4,7128,True,,leaf,,,False,0.031909117149447525,,[]
